14	215732.26999999877
11	145189.3000000011
02	36643.430000000124
09	222652.02000000176
13	190847.82999999996
18	252601.1899999956
19	265021.9799999992
07	195237.06999999928
08	169111.7300000016
23	161753.44999999925
21	283775.0800000024
17	321659.2100000004
15	312374.37999999896
01	60695.190000000075
22	189960.48999999824
10	138342.7599999994
12	166186.1600000005
20	267461.6600000017
05	91136.53
00	109568.7300000003
16	238718.28999999954
04	28350.29999999991
06	131056.86000000004
03	29745.899999999845
